 -3.00  180.7698
 -2.90  152.8446
 -2.80  128.9260
 -2.70  108.4732
 -2.60  91.0149
 -2.50  76.1406
 -2.40  63.4935
 -2.30  52.7634
 -2.20  43.6811
 -2.10  36.0128
 -2.00  29.5562
 -1.90  24.1361
 -1.80  19.6009
 -1.70  15.8197
 -1.60  12.6798
 -1.50  10.0838
 -1.40  7.9482
 -1.30  6.2011
 -1.20  4.7810
 -1.10  3.6350
 -1.00  2.7183
 -0.90  1.9923
 -0.80  1.4243
 -0.70  0.9867
 -0.60  0.6560
 -0.50  0.4122
 -0.40  0.2387
 -0.30  0.1215
 -0.20  0.0489
 -0.10  0.0111
 0.00  0.0000
 0.10  0.0090
 0.20  0.0327
 0.30  0.0667
 0.40  0.1073
 0.50  0.1516
 0.60  0.1976
 0.70  0.2433
 0.80  0.2876
 0.90  0.3293
 1.00  0.3679
 1.10  0.4028
 1.20  0.4337
 1.30  0.4606
 1.40  0.4833
 1.50  0.5020
 1.60  0.5169
 1.70  0.5280
 1.80  0.5356
 1.90  0.5399
 2.00  0.5413
 2.10  0.5400
 2.20  0.5363
 2.30  0.5304
 2.40  0.5225
 2.50  0.5130
 2.60  0.5021
 2.70  0.4899
 2.80  0.4768
 2.90  0.4627
 3.00  0.4481
